SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2021-01-04
AXISBANK, EQ,2021-01-04
BAJFINANCE, EQ,2021-01-04
BHARTIARTL, EQ,2021-01-04
BPCL, EQ,2021-01-04
CIPLA, EQ,2021-01-04
COALINDIA, EQ,2021-01-04
DIVISLAB, EQ,2021-01-04
DRREDDY, EQ,2021-01-04
HCLTECH, EQ,2021-01-04
HDFCBANK, EQ,2021-01-04
HINDALCO, EQ,2021-01-04
ICICIBANK, EQ,2021-01-04
INFY, EQ,2021-01-04
JSWSTEEL, EQ,2021-01-04
KOTAKBANK, EQ,2021-01-04
LT, EQ,2021-01-04
MARUTI, EQ,2021-01-04
NTPC, EQ,2021-01-04
POWERGRID, EQ,2021-01-04
RELIANCE, EQ,2021-01-04
SBIN, EQ,2021-01-04
SUNPHARMA, EQ,2021-01-04
TATAMOTORS, EQ,2021-01-04
TATASTEEL, EQ,2021-01-04
TCS, EQ,2021-01-04
TECHM, EQ,2021-01-04
TITAN, EQ,2021-01-04
ULTRACEMCO, EQ,2021-01-04
WIPRO, EQ,2021-01-04
