SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2024-05-23
AXISBANK, EQ,2024-05-23
BAJFINANCE, EQ,2024-05-23
BHARTIARTL, EQ,2024-05-23
BPCL, EQ,2024-05-23
CIPLA, EQ,2024-05-23
COALINDIA, EQ,2024-05-23
DIVISLAB, EQ,2024-05-23
DRREDDY, EQ,2024-05-23
HCLTECH, EQ,2024-05-23
HDFCBANK, EQ,2024-05-23
HINDALCO, EQ,2024-05-23
ICICIBANK, EQ,2024-05-23
INFY, EQ,2024-05-23
JSWSTEEL, EQ,2024-05-23
KOTAKBANK, EQ,2024-05-23
LT, EQ,2024-05-23
MARUTI, EQ,2024-05-23
NTPC, EQ,2024-05-23
POWERGRID, EQ,2024-05-23
RELIANCE, EQ,2024-05-23
SBIN, EQ,2024-05-23
SUNPHARMA, EQ,2024-05-23
TATAMOTORS, EQ,2024-05-23
TATASTEEL, EQ,2024-05-23
TCS, EQ,2024-05-23
TECHM, EQ,2024-05-23
TITAN, EQ,2024-05-23
ULTRACEMCO, EQ,2024-05-23
WIPRO, EQ,2024-05-23
