SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2020-08-03
AXISBANK, EQ,2020-08-03
BAJFINANCE, EQ,2020-08-03
BHARTIARTL, EQ,2020-08-03
BPCL, EQ,2020-08-03
CIPLA, EQ,2020-08-03
COALINDIA, EQ,2020-08-03
DIVISLAB, EQ,2020-08-03
DRREDDY, EQ,2020-08-03
HCLTECH, EQ,2020-08-03
HDFCBANK, EQ,2020-08-03
HINDALCO, EQ,2020-08-03
ICICIBANK, EQ,2020-08-03
INFY, EQ,2020-08-03
JSWSTEEL, EQ,2020-08-03
KOTAKBANK, EQ,2020-08-03
LT, EQ,2020-08-03
MARUTI, EQ,2020-08-03
NTPC, EQ,2020-08-03
POWERGRID, EQ,2020-08-03
RELIANCE, EQ,2020-08-03
SBIN, EQ,2020-08-03
SUNPHARMA, EQ,2020-08-03
TATAMOTORS, EQ,2020-08-03
TATASTEEL, EQ,2020-08-03
TCS, EQ,2020-08-03
TECHM, EQ,2020-08-03
TITAN, EQ,2020-08-03
ULTRACEMCO, EQ,2020-08-03
WIPRO, EQ,2020-08-03
