SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2024-10-04
AXISBANK, EQ,2024-10-04
BAJFINANCE, EQ,2024-10-04
BHARTIARTL, EQ,2024-10-04
BPCL, EQ,2024-10-04
CIPLA, EQ,2024-10-04
COALINDIA, EQ,2024-10-04
DIVISLAB, EQ,2024-10-04
DRREDDY, EQ,2024-10-04
HCLTECH, EQ,2024-10-04
HDFCBANK, EQ,2024-10-04
HINDALCO, EQ,2024-10-04
ICICIBANK, EQ,2024-10-04
INFY, EQ,2024-10-04
JSWSTEEL, EQ,2024-10-04
KOTAKBANK, EQ,2024-10-04
LT, EQ,2024-10-04
MARUTI, EQ,2024-10-04
NTPC, EQ,2024-10-04
POWERGRID, EQ,2024-10-04
RELIANCE, EQ,2024-10-04
SBIN, EQ,2024-10-04
SUNPHARMA, EQ,2024-10-04
TATAMOTORS, EQ,2024-10-04
TATASTEEL, EQ,2024-10-04
TCS, EQ,2024-10-04
TECHM, EQ,2024-10-04
TITAN, EQ,2024-10-04
ULTRACEMCO, EQ,2024-10-04
WIPRO, EQ,2024-10-04
