SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2020-09-18
AXISBANK, EQ,2020-09-18
BAJFINANCE, EQ,2020-09-18
BHARTIARTL, EQ,2020-09-18
BPCL, EQ,2020-09-18
CIPLA, EQ,2020-09-18
COALINDIA, EQ,2020-09-18
DIVISLAB, EQ,2020-09-18
DRREDDY, EQ,2020-09-18
HCLTECH, EQ,2020-09-18
HDFCBANK, EQ,2020-09-18
HINDALCO, EQ,2020-09-18
ICICIBANK, EQ,2020-09-18
INFY, EQ,2020-09-18
JSWSTEEL, EQ,2020-09-18
KOTAKBANK, EQ,2020-09-18
LT, EQ,2020-09-18
MARUTI, EQ,2020-09-18
NTPC, EQ,2020-09-18
POWERGRID, EQ,2020-09-18
RELIANCE, EQ,2020-09-18
SBIN, EQ,2020-09-18
SUNPHARMA, EQ,2020-09-18
TATAMOTORS, EQ,2020-09-18
TATASTEEL, EQ,2020-09-18
TCS, EQ,2020-09-18
TECHM, EQ,2020-09-18
TITAN, EQ,2020-09-18
ULTRACEMCO, EQ,2020-09-18
WIPRO, EQ,2020-09-18
