SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2024-01-05
AXISBANK, EQ,2024-01-05
BAJFINANCE, EQ,2024-01-05
BHARTIARTL, EQ,2024-01-05
BPCL, EQ,2024-01-05
CIPLA, EQ,2024-01-05
COALINDIA, EQ,2024-01-05
DIVISLAB, EQ,2024-01-05
DRREDDY, EQ,2024-01-05
HCLTECH, EQ,2024-01-05
HDFCBANK, EQ,2024-01-05
HINDALCO, EQ,2024-01-05
ICICIBANK, EQ,2024-01-05
INFY, EQ,2024-01-05
JSWSTEEL, EQ,2024-01-05
KOTAKBANK, EQ,2024-01-05
LT, EQ,2024-01-05
MARUTI, EQ,2024-01-05
NTPC, EQ,2024-01-05
POWERGRID, EQ,2024-01-05
RELIANCE, EQ,2024-01-05
SBIN, EQ,2024-01-05
SUNPHARMA, EQ,2024-01-05
TATAMOTORS, EQ,2024-01-05
TATASTEEL, EQ,2024-01-05
TCS, EQ,2024-01-05
TECHM, EQ,2024-01-05
TITAN, EQ,2024-01-05
ULTRACEMCO, EQ,2024-01-05
WIPRO, EQ,2024-01-05
