SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2020-07-28
AXISBANK, EQ,2020-07-28
BAJFINANCE, EQ,2020-07-28
BHARTIARTL, EQ,2020-07-28
BPCL, EQ,2020-07-28
CIPLA, EQ,2020-07-28
COALINDIA, EQ,2020-07-28
DIVISLAB, EQ,2020-07-28
DRREDDY, EQ,2020-07-28
HCLTECH, EQ,2020-07-28
HDFCBANK, EQ,2020-07-28
HINDALCO, EQ,2020-07-28
ICICIBANK, EQ,2020-07-28
INFY, EQ,2020-07-28
JSWSTEEL, EQ,2020-07-28
KOTAKBANK, EQ,2020-07-28
LT, EQ,2020-07-28
MARUTI, EQ,2020-07-28
NTPC, EQ,2020-07-28
POWERGRID, EQ,2020-07-28
RELIANCE, EQ,2020-07-28
SBIN, EQ,2020-07-28
SUNPHARMA, EQ,2020-07-28
TATAMOTORS, EQ,2020-07-28
TATASTEEL, EQ,2020-07-28
TCS, EQ,2020-07-28
TECHM, EQ,2020-07-28
TITAN, EQ,2020-07-28
ULTRACEMCO, EQ,2020-07-28
WIPRO, EQ,2020-07-28
