SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2022-03-24
AXISBANK, EQ,2022-03-24
BAJFINANCE, EQ,2022-03-24
BHARTIARTL, EQ,2022-03-24
BPCL, EQ,2022-03-24
CIPLA, EQ,2022-03-24
COALINDIA, EQ,2022-03-24
DIVISLAB, EQ,2022-03-24
DRREDDY, EQ,2022-03-24
HCLTECH, EQ,2022-03-24
HDFCBANK, EQ,2022-03-24
HINDALCO, EQ,2022-03-24
ICICIBANK, EQ,2022-03-24
INFY, EQ,2022-03-24
JSWSTEEL, EQ,2022-03-24
KOTAKBANK, EQ,2022-03-24
LT, EQ,2022-03-24
MARUTI, EQ,2022-03-24
NTPC, EQ,2022-03-24
POWERGRID, EQ,2022-03-24
RELIANCE, EQ,2022-03-24
SBIN, EQ,2022-03-24
SUNPHARMA, EQ,2022-03-24
TATAMOTORS, EQ,2022-03-24
TATASTEEL, EQ,2022-03-24
TCS, EQ,2022-03-24
TECHM, EQ,2022-03-24
TITAN, EQ,2022-03-24
ULTRACEMCO, EQ,2022-03-24
WIPRO, EQ,2022-03-24
