SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2021-09-06
AXISBANK, EQ,2021-09-06
BAJFINANCE, EQ,2021-09-06
BHARTIARTL, EQ,2021-09-06
BPCL, EQ,2021-09-06
CIPLA, EQ,2021-09-06
COALINDIA, EQ,2021-09-06
DIVISLAB, EQ,2021-09-06
DRREDDY, EQ,2021-09-06
HCLTECH, EQ,2021-09-06
HDFCBANK, EQ,2021-09-06
HINDALCO, EQ,2021-09-06
ICICIBANK, EQ,2021-09-06
INFY, EQ,2021-09-06
JSWSTEEL, EQ,2021-09-06
KOTAKBANK, EQ,2021-09-06
LT, EQ,2021-09-06
MARUTI, EQ,2021-09-06
NTPC, EQ,2021-09-06
POWERGRID, EQ,2021-09-06
RELIANCE, EQ,2021-09-06
SBIN, EQ,2021-09-06
SUNPHARMA, EQ,2021-09-06
TATAMOTORS, EQ,2021-09-06
TATASTEEL, EQ,2021-09-06
TCS, EQ,2021-09-06
TECHM, EQ,2021-09-06
TITAN, EQ,2021-09-06
ULTRACEMCO, EQ,2021-09-06
WIPRO, EQ,2021-09-06
