SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2025-07-23
AXISBANK, EQ,2025-07-23
BAJFINANCE, EQ,2025-07-23
BHARTIARTL, EQ,2025-07-23
BPCL, EQ,2025-07-23
CIPLA, EQ,2025-07-23
COALINDIA, EQ,2025-07-23
DIVISLAB, EQ,2025-07-23
DRREDDY, EQ,2025-07-23
HCLTECH, EQ,2025-07-23
HDFCBANK, EQ,2025-07-23
HINDALCO, EQ,2025-07-23
ICICIBANK, EQ,2025-07-23
INFY, EQ,2025-07-23
JSWSTEEL, EQ,2025-07-23
KOTAKBANK, EQ,2025-07-23
LT, EQ,2025-07-23
MARUTI, EQ,2025-07-23
NTPC, EQ,2025-07-23
POWERGRID, EQ,2025-07-23
RELIANCE, EQ,2025-07-23
SBIN, EQ,2025-07-23
SUNPHARMA, EQ,2025-07-23
TATAMOTORS, EQ,2025-07-23
TATASTEEL, EQ,2025-07-23
TCS, EQ,2025-07-23
TECHM, EQ,2025-07-23
TITAN, EQ,2025-07-23
ULTRACEMCO, EQ,2025-07-23
WIPRO, EQ,2025-07-23
