SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2022-11-11
AXISBANK, EQ,2022-11-11
BAJFINANCE, EQ,2022-11-11
BHARTIARTL, EQ,2022-11-11
BPCL, EQ,2022-11-11
CIPLA, EQ,2022-11-11
COALINDIA, EQ,2022-11-11
DIVISLAB, EQ,2022-11-11
DRREDDY, EQ,2022-11-11
HCLTECH, EQ,2022-11-11
HDFCBANK, EQ,2022-11-11
HINDALCO, EQ,2022-11-11
ICICIBANK, EQ,2022-11-11
INFY, EQ,2022-11-11
JSWSTEEL, EQ,2022-11-11
KOTAKBANK, EQ,2022-11-11
LT, EQ,2022-11-11
MARUTI, EQ,2022-11-11
NTPC, EQ,2022-11-11
POWERGRID, EQ,2022-11-11
RELIANCE, EQ,2022-11-11
SBIN, EQ,2022-11-11
SUNPHARMA, EQ,2022-11-11
TATAMOTORS, EQ,2022-11-11
TATASTEEL, EQ,2022-11-11
TCS, EQ,2022-11-11
TECHM, EQ,2022-11-11
TITAN, EQ,2022-11-11
ULTRACEMCO, EQ,2022-11-11
WIPRO, EQ,2022-11-11
