SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2021-04-14
AXISBANK, EQ,2021-04-14
BAJFINANCE, EQ,2021-04-14
BHARTIARTL, EQ,2021-04-14
BPCL, EQ,2021-04-14
CIPLA, EQ,2021-04-14
COALINDIA, EQ,2021-04-14
DIVISLAB, EQ,2021-04-14
DRREDDY, EQ,2021-04-14
HCLTECH, EQ,2021-04-14
HDFCBANK, EQ,2021-04-14
HINDALCO, EQ,2021-04-14
ICICIBANK, EQ,2021-04-14
INFY, EQ,2021-04-14
JSWSTEEL, EQ,2021-04-14
KOTAKBANK, EQ,2021-04-14
LT, EQ,2021-04-14
MARUTI, EQ,2021-04-14
NTPC, EQ,2021-04-14
POWERGRID, EQ,2021-04-14
RELIANCE, EQ,2021-04-14
SBIN, EQ,2021-04-14
SUNPHARMA, EQ,2021-04-14
TATAMOTORS, EQ,2021-04-14
TATASTEEL, EQ,2021-04-14
TCS, EQ,2021-04-14
TECHM, EQ,2021-04-14
TITAN, EQ,2021-04-14
ULTRACEMCO, EQ,2021-04-14
WIPRO, EQ,2021-04-14
