SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2022-08-22
AXISBANK, EQ,2022-08-22
BAJFINANCE, EQ,2022-08-22
BHARTIARTL, EQ,2022-08-22
BPCL, EQ,2022-08-22
CIPLA, EQ,2022-08-22
COALINDIA, EQ,2022-08-22
DIVISLAB, EQ,2022-08-22
DRREDDY, EQ,2022-08-22
HCLTECH, EQ,2022-08-22
HDFCBANK, EQ,2022-08-22
HINDALCO, EQ,2022-08-22
ICICIBANK, EQ,2022-08-22
INFY, EQ,2022-08-22
JSWSTEEL, EQ,2022-08-22
KOTAKBANK, EQ,2022-08-22
LT, EQ,2022-08-22
MARUTI, EQ,2022-08-22
NTPC, EQ,2022-08-22
POWERGRID, EQ,2022-08-22
RELIANCE, EQ,2022-08-22
SBIN, EQ,2022-08-22
SUNPHARMA, EQ,2022-08-22
TATAMOTORS, EQ,2022-08-22
TATASTEEL, EQ,2022-08-22
TCS, EQ,2022-08-22
TECHM, EQ,2022-08-22
TITAN, EQ,2022-08-22
ULTRACEMCO, EQ,2022-08-22
WIPRO, EQ,2022-08-22
