SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2024-12-10
AXISBANK, EQ,2024-12-10
BAJFINANCE, EQ,2024-12-10
BHARTIARTL, EQ,2024-12-10
BPCL, EQ,2024-12-10
CIPLA, EQ,2024-12-10
COALINDIA, EQ,2024-12-10
DIVISLAB, EQ,2024-12-10
DRREDDY, EQ,2024-12-10
HCLTECH, EQ,2024-12-10
HDFCBANK, EQ,2024-12-10
HINDALCO, EQ,2024-12-10
ICICIBANK, EQ,2024-12-10
INFY, EQ,2024-12-10
JSWSTEEL, EQ,2024-12-10
KOTAKBANK, EQ,2024-12-10
LT, EQ,2024-12-10
MARUTI, EQ,2024-12-10
NTPC, EQ,2024-12-10
POWERGRID, EQ,2024-12-10
RELIANCE, EQ,2024-12-10
SBIN, EQ,2024-12-10
SUNPHARMA, EQ,2024-12-10
TATAMOTORS, EQ,2024-12-10
TATASTEEL, EQ,2024-12-10
TCS, EQ,2024-12-10
TECHM, EQ,2024-12-10
TITAN, EQ,2024-12-10
ULTRACEMCO, EQ,2024-12-10
WIPRO, EQ,2024-12-10
