SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2024-06-21
AXISBANK, EQ,2024-06-21
BAJFINANCE, EQ,2024-06-21
BHARTIARTL, EQ,2024-06-21
BPCL, EQ,2024-06-21
CIPLA, EQ,2024-06-21
COALINDIA, EQ,2024-06-21
DIVISLAB, EQ,2024-06-21
DRREDDY, EQ,2024-06-21
HCLTECH, EQ,2024-06-21
HDFCBANK, EQ,2024-06-21
HINDALCO, EQ,2024-06-21
ICICIBANK, EQ,2024-06-21
INFY, EQ,2024-06-21
JSWSTEEL, EQ,2024-06-21
KOTAKBANK, EQ,2024-06-21
LT, EQ,2024-06-21
MARUTI, EQ,2024-06-21
NTPC, EQ,2024-06-21
POWERGRID, EQ,2024-06-21
RELIANCE, EQ,2024-06-21
SBIN, EQ,2024-06-21
SUNPHARMA, EQ,2024-06-21
TATAMOTORS, EQ,2024-06-21
TATASTEEL, EQ,2024-06-21
TCS, EQ,2024-06-21
TECHM, EQ,2024-06-21
TITAN, EQ,2024-06-21
ULTRACEMCO, EQ,2024-06-21
WIPRO, EQ,2024-06-21
