SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2022-12-12
AXISBANK, EQ,2022-12-12
BAJFINANCE, EQ,2022-12-12
BHARTIARTL, EQ,2022-12-12
BPCL, EQ,2022-12-12
CIPLA, EQ,2022-12-12
COALINDIA, EQ,2022-12-12
DIVISLAB, EQ,2022-12-12
DRREDDY, EQ,2022-12-12
HCLTECH, EQ,2022-12-12
HDFCBANK, EQ,2022-12-12
HINDALCO, EQ,2022-12-12
ICICIBANK, EQ,2022-12-12
INFY, EQ,2022-12-12
JSWSTEEL, EQ,2022-12-12
KOTAKBANK, EQ,2022-12-12
LT, EQ,2022-12-12
MARUTI, EQ,2022-12-12
NTPC, EQ,2022-12-12
POWERGRID, EQ,2022-12-12
RELIANCE, EQ,2022-12-12
SBIN, EQ,2022-12-12
SUNPHARMA, EQ,2022-12-12
TATAMOTORS, EQ,2022-12-12
TATASTEEL, EQ,2022-12-12
TCS, EQ,2022-12-12
TECHM, EQ,2022-12-12
TITAN, EQ,2022-12-12
ULTRACEMCO, EQ,2022-12-12
WIPRO, EQ,2022-12-12
