SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2020-05-19
AXISBANK, EQ,2020-05-19
BAJFINANCE, EQ,2020-05-19
BHARTIARTL, EQ,2020-05-19
BPCL, EQ,2020-05-19
CIPLA, EQ,2020-05-19
COALINDIA, EQ,2020-05-19
DIVISLAB, EQ,2020-05-19
DRREDDY, EQ,2020-05-19
HCLTECH, EQ,2020-05-19
HDFCBANK, EQ,2020-05-19
HINDALCO, EQ,2020-05-19
ICICIBANK, EQ,2020-05-19
INFY, EQ,2020-05-19
JSWSTEEL, EQ,2020-05-19
KOTAKBANK, EQ,2020-05-19
LT, EQ,2020-05-19
MARUTI, EQ,2020-05-19
NTPC, EQ,2020-05-19
POWERGRID, EQ,2020-05-19
RELIANCE, EQ,2020-05-19
SBIN, EQ,2020-05-19
SUNPHARMA, EQ,2020-05-19
TATAMOTORS, EQ,2020-05-19
TATASTEEL, EQ,2020-05-19
TCS, EQ,2020-05-19
TECHM, EQ,2020-05-19
TITAN, EQ,2020-05-19
ULTRACEMCO, EQ,2020-05-19
WIPRO, EQ,2020-05-19
