SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2020-01-21
AXISBANK, EQ,2020-01-21
BAJFINANCE, EQ,2020-01-21
BHARTIARTL, EQ,2020-01-21
BPCL, EQ,2020-01-21
CIPLA, EQ,2020-01-21
COALINDIA, EQ,2020-01-21
DIVISLAB, EQ,2020-01-21
DRREDDY, EQ,2020-01-21
HCLTECH, EQ,2020-01-21
HDFCBANK, EQ,2020-01-21
HINDALCO, EQ,2020-01-21
ICICIBANK, EQ,2020-01-21
INFY, EQ,2020-01-21
JSWSTEEL, EQ,2020-01-21
KOTAKBANK, EQ,2020-01-21
LT, EQ,2020-01-21
MARUTI, EQ,2020-01-21
NTPC, EQ,2020-01-21
POWERGRID, EQ,2020-01-21
RELIANCE, EQ,2020-01-21
SBIN, EQ,2020-01-21
SUNPHARMA, EQ,2020-01-21
TATAMOTORS, EQ,2020-01-21
TATASTEEL, EQ,2020-01-21
TCS, EQ,2020-01-21
TECHM, EQ,2020-01-21
TITAN, EQ,2020-01-21
ULTRACEMCO, EQ,2020-01-21
WIPRO, EQ,2020-01-21
