SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2021-05-28
AXISBANK, EQ,2021-05-28
BAJFINANCE, EQ,2021-05-28
BHARTIARTL, EQ,2021-05-28
BPCL, EQ,2021-05-28
CIPLA, EQ,2021-05-28
COALINDIA, EQ,2021-05-28
DIVISLAB, EQ,2021-05-28
DRREDDY, EQ,2021-05-28
HCLTECH, EQ,2021-05-28
HDFCBANK, EQ,2021-05-28
HINDALCO, EQ,2021-05-28
ICICIBANK, EQ,2021-05-28
INFY, EQ,2021-05-28
JSWSTEEL, EQ,2021-05-28
KOTAKBANK, EQ,2021-05-28
LT, EQ,2021-05-28
MARUTI, EQ,2021-05-28
NTPC, EQ,2021-05-28
POWERGRID, EQ,2021-05-28
RELIANCE, EQ,2021-05-28
SBIN, EQ,2021-05-28
SUNPHARMA, EQ,2021-05-28
TATAMOTORS, EQ,2021-05-28
TATASTEEL, EQ,2021-05-28
TCS, EQ,2021-05-28
TECHM, EQ,2021-05-28
TITAN, EQ,2021-05-28
ULTRACEMCO, EQ,2021-05-28
WIPRO, EQ,2021-05-28
