SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2023-10-20
AXISBANK, EQ,2023-10-20
BAJFINANCE, EQ,2023-10-20
BHARTIARTL, EQ,2023-10-20
BPCL, EQ,2023-10-20
CIPLA, EQ,2023-10-20
COALINDIA, EQ,2023-10-20
DIVISLAB, EQ,2023-10-20
DRREDDY, EQ,2023-10-20
HCLTECH, EQ,2023-10-20
HDFCBANK, EQ,2023-10-20
HINDALCO, EQ,2023-10-20
ICICIBANK, EQ,2023-10-20
INFY, EQ,2023-10-20
JSWSTEEL, EQ,2023-10-20
KOTAKBANK, EQ,2023-10-20
LT, EQ,2023-10-20
MARUTI, EQ,2023-10-20
NTPC, EQ,2023-10-20
POWERGRID, EQ,2023-10-20
RELIANCE, EQ,2023-10-20
SBIN, EQ,2023-10-20
SUNPHARMA, EQ,2023-10-20
TATAMOTORS, EQ,2023-10-20
TATASTEEL, EQ,2023-10-20
TCS, EQ,2023-10-20
TECHM, EQ,2023-10-20
TITAN, EQ,2023-10-20
ULTRACEMCO, EQ,2023-10-20
WIPRO, EQ,2023-10-20
