SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2022-02-18
AXISBANK, EQ,2022-02-18
BAJFINANCE, EQ,2022-02-18
BHARTIARTL, EQ,2022-02-18
BPCL, EQ,2022-02-18
CIPLA, EQ,2022-02-18
COALINDIA, EQ,2022-02-18
DIVISLAB, EQ,2022-02-18
DRREDDY, EQ,2022-02-18
HCLTECH, EQ,2022-02-18
HDFCBANK, EQ,2022-02-18
HINDALCO, EQ,2022-02-18
ICICIBANK, EQ,2022-02-18
INFY, EQ,2022-02-18
JSWSTEEL, EQ,2022-02-18
KOTAKBANK, EQ,2022-02-18
LT, EQ,2022-02-18
MARUTI, EQ,2022-02-18
NTPC, EQ,2022-02-18
POWERGRID, EQ,2022-02-18
RELIANCE, EQ,2022-02-18
SBIN, EQ,2022-02-18
SUNPHARMA, EQ,2022-02-18
TATAMOTORS, EQ,2022-02-18
TATASTEEL, EQ,2022-02-18
TCS, EQ,2022-02-18
TECHM, EQ,2022-02-18
TITAN, EQ,2022-02-18
ULTRACEMCO, EQ,2022-02-18
WIPRO, EQ,2022-02-18
