SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,OPEN_INT,DATE
BANKNIFTY,2025-05-29,51600.0,CE,3889.4,3900.65,3889.4,3900.65,3900.65,4260,2025-05-23
BANKNIFTY,2025-05-29,50500.0,CE,4565.15,5000.3,4453.15,4930.0,4951.5,87540,2025-05-23
BANKNIFTY,2025-05-29,49600.0,CE,5950.0,5950.0,5842.05,5842.05,5850.5,870,2025-05-23
BANKNIFTY,2025-05-29,47500.0,CE,0.0,0.0,0.0,7278.25,7948.3,3240,2025-05-23
BANKNIFTY,2025-05-29,46800.0,CE,0.0,0.0,0.0,3823.6,8647.55,180,2025-05-23
BANKNIFTY,2026-03-26,55500.0,PE,0.0,0.0,0.0,3997.45,2696.0,0,2025-05-23
BANKNIFTY,2026-03-26,51000.0,PE,0.0,0.0,0.0,2095.5,1264.45,0,2025-05-23
BANKNIFTY,2026-03-26,42000.0,PE,0.0,0.0,0.0,295.05,126.4,0,2025-05-23
BANKNIFTY,2025-12-24,51000.0,PE,0.0,0.0,0.0,730.0,998.65,920,2025-05-23
BANKNIFTY,2025-07-31,54000.0,CE,2383.1,2687.65,2355.6,2608.7,3119.75,12600,2025-05-23
BANKNIFTY,2025-07-31,57600.0,CE,0.0,0.0,0.0,1726.25,1316.05,0,2025-05-23
BANKNIFTY,2025-07-31,60000.0,CE,180.05,250.0,180.05,240.6,240.6,14735,2025-05-23
BANKNIFTY,2025-07-31,60200.0,CE,0.0,0.0,0.0,934.1,605.1,0,2025-05-23
BANKNIFTY,2025-07-31,62500.0,CE,78.8,100.0,74.9,84.1,84.1,16240,2025-05-23
BANKNIFTY,2025-09-25,63000.0,CE,500.0,500.0,160.0,160.0,160.0,350,2025-05-23
BANKNIFTY,2025-12-24,49500.0,CE,0.0,0.0,0.0,7141.45,8493.65,0,2025-05-23
BANKNIFTY,2026-03-26,42000.0,CE,0.0,0.0,0.0,12815.95,15809.35,0,2025-05-23
BANKNIFTY,2026-03-26,57000.0,CE,0.0,0.0,0.0,3361.25,4832.7,0,2025-05-23
BANKNIFTY,2025-05-29,43800.0,PE,1.75,2.85,1.65,1.8,1.8,6120,2025-05-23
BANKNIFTY,2025-05-29,45300.0,PE,2.4,3.2,1.9,2.25,2.25,1680,2025-05-23
BANKNIFTY,2025-05-29,46000.0,PE,2.45,3.5,2.2,3.0,3.0,163170,2025-05-23
BANKNIFTY,2025-05-29,48700.0,PE,4.65,5.55,3.2,4.4,4.4,80970,2025-05-23
BANKNIFTY,2025-05-29,52600.0,PE,29.45,32.35,21.0,25.25,25.25,66420,2025-05-23
BANKNIFTY,2025-05-29,52700.0,PE,34.55,38.85,23.0,27.85,27.85,99960,2025-05-23
BANKNIFTY,2025-06-26,57900.0,CE,0.0,0.0,0.0,179.55,573.55,1170,2025-05-23
BANKNIFTY,2025-06-26,56400.0,CE,531.95,750.1,531.95,730.9,730.9,5790,2025-05-23
BANKNIFTY,2025-06-26,56100.0,CE,688.5,886.75,657.0,865.8,865.8,14130,2025-05-23
BANKNIFTY,2025-06-26,55000.0,CE,1259.0,1530.85,1157.65,1484.05,1484.05,435000,2025-05-23
BANKNIFTY,2025-06-26,54800.0,CE,1314.0,1653.9,1292.55,1611.25,1611.25,7110,2025-05-23
BANKNIFTY,2025-06-26,54700.0,CE,1419.75,1735.6,1340.85,1682.4,1682.4,4830,2025-05-23
BANKNIFTY,2025-06-26,53800.0,CE,2120.7,2338.35,2039.55,2320.35,2521.2,1350,2025-05-23
BANKNIFTY,2025-06-26,52500.0,CE,3157.7,3481.15,3143.95,3450.0,3450.0,57240,2025-05-23
BANKNIFTY,2025-06-26,49800.0,CE,0.0,0.0,0.0,6068.7,5949.25,30,2025-05-23
BANKNIFTY,2025-06-26,49700.0,CE,0.0,0.0,0.0,5650.0,6045.15,90,2025-05-23
BANKNIFTY,2025-06-26,49200.0,CE,0.0,0.0,0.0,6225.0,6527.95,60,2025-05-23
BANKNIFTY,2025-05-29,52600.0,CE,2785.0,2918.35,2785.0,2908.0,2908.0,7560,2025-05-23
BANKNIFTY,2025-05-29,51300.0,CE,0.0,0.0,0.0,3470.0,4152.8,4290,2025-05-23
BANKNIFTY,2025-05-29,47800.0,CE,0.0,0.0,0.0,6959.25,7648.6,330,2025-05-23
BANKNIFTY,2025-05-29,45500.0,CE,0.0,0.0,0.0,9161.3,9946.2,480,2025-05-23
BANKNIFTY,2025-05-29,45100.0,CE,0.0,0.0,0.0,9566.3,10345.75,420,2025-05-23
BANKNIFTY,2025-05-29,42000.0,CE,0.0,0.0,0.0,7568.1,13442.5,0,2025-05-23
BANKNIFTY,2026-03-26,57000.0,PE,0.0,0.0,0.0,4788.5,3333.8,0,2025-05-23
BANKNIFTY,2025-07-31,60100.0,PE,0.0,0.0,0.0,4775.5,4575.9,0,2025-05-23
BANKNIFTY,2025-07-31,58100.0,PE,0.0,0.0,0.0,3210.35,3120.65,70,2025-05-23
BANKNIFTY,2025-07-31,57900.0,PE,0.0,0.0,0.0,3271.9,2989.55,0,2025-05-23
BANKNIFTY,2025-07-31,56300.0,PE,0.0,0.0,0.0,1546.8,2047.45,210,2025-05-23
BANKNIFTY,2025-07-31,55400.0,PE,0.0,0.0,0.0,1922.85,1605.65,0,2025-05-23
BANKNIFTY,2025-07-31,54000.0,PE,882.2,883.0,763.25,784.1,784.1,26670,2025-05-23
BANKNIFTY,2025-07-31,53000.0,PE,626.3,638.3,538.0,559.9,559.9,15680,2025-05-23
BANKNIFTY,2025-07-31,52000.0,PE,420.0,425.0,369.1,385.6,385.6,32375,2025-05-23
BANKNIFTY,2025-07-31,48900.0,PE,0.0,0.0,0.0,234.95,116.2,0,2025-05-23
BANKNIFTY,2025-06-26,59600.0,PE,0.0,0.0,0.0,4241.95,4084.95,90,2025-05-23
BANKNIFTY,2025-06-26,58300.0,PE,0.0,0.0,0.0,2996.9,3019.95,180,2025-05-23
BANKNIFTY,2025-06-26,53500.0,PE,431.75,445.65,362.5,370.9,370.9,115500,2025-05-23
BANKNIFTY,2025-06-26,51800.0,PE,182.0,216.95,169.75,171.2,171.2,4080,2025-05-23
BANKNIFTY,2025-06-26,51400.0,PE,163.35,176.1,146.7,171.15,145.85,2040,2025-05-23
BANKNIFTY,2025-06-26,50800.0,PE,141.9,141.9,130.0,130.0,130.0,570,2025-05-23
BANKNIFTY,2025-06-26,50300.0,PE,0.0,0.0,0.0,280.8,65.2,1440,2025-05-23
BANKNIFTY,2025-06-26,49300.0,PE,0.0,0.0,0.0,749.7,28.3,0,2025-05-23
BANKNIFTY,2025-06-26,46100.0,PE,0.0,0.0,0.0,193.6,0.95,0,2025-05-23
BANKNIFTY,2025-06-26,45300.0,PE,0.0,0.0,0.0,128.3,0.35,0,2025-05-23
BANKNIFTY,2025-06-26,40500.0,PE,9.0,9.0,7.1,8.25,8.25,8040,2025-05-23
BANKNIFTY,2025-05-29,59600.0,PE,0.0,0.0,0.0,9863.0,4140.2,0,2025-05-23
BANKNIFTY,2025-05-29,53600.0,PE,91.15,99.0,56.35,63.15,63.15,129150,2025-05-23
BANKNIFTY,2025-05-29,53300.0,PE,59.95,69.15,40.6,47.0,47.0,131550,2025-05-23
BANKNIFTY,2025-05-29,49200.0,PE,3.1,5.0,3.1,4.3,4.3,25470,2025-05-23
BANKNIFTY,2025-05-29,49000.0,PE,3.0,4.8,2.75,4.45,4.45,385200,2025-05-23
BANKNIFTY,2025-05-29,48000.0,PE,3.95,4.0,2.65,3.75,3.75,379410,2025-05-23
BANKNIFTY,2025-05-29,47000.0,PE,3.45,3.5,2.4,3.25,3.25,253290,2025-05-23
BANKNIFTY,2025-05-29,44400.0,PE,1.9,2.85,1.8,2.05,2.05,14640,2025-05-23
BANKNIFTY,2025-05-29,43200.0,PE,1.6,3.4,0.9,1.7,1.7,3330,2025-05-23
BANKNIFTY,2025-05-29,42900.0,PE,1.6,2.8,0.7,2.1,2.1,10080,2025-05-23
BANKNIFTY,2026-03-26,52500.0,CE,0.0,0.0,0.0,5406.55,7417.9,0,2025-05-23
BANKNIFTY,2026-03-26,46500.0,CE,0.0,0.0,0.0,9237.95,11895.95,0,2025-05-23
BANKNIFTY,2026-03-26,45000.0,CE,0.0,0.0,0.0,10374.55,13161.2,0,2025-05-23
BANKNIFTY,2025-12-24,61500.0,CE,0.0,0.0,0.0,2083.1,1982.25,0,2025-05-23
BANKNIFTY,2025-09-25,45000.0,CE,0.0,0.0,0.0,12756.2,11468.65,0,2025-05-23
BANKNIFTY,2025-07-31,59300.0,CE,0.0,0.0,0.0,1164.4,805.35,0,2025-05-23
BANKNIFTY,2025-07-31,57000.0,CE,800.0,1000.0,800.0,970.8,970.8,24605,2025-05-23
BANKNIFTY,2025-07-31,55500.0,CE,1451.2,1736.05,1418.2,1724.15,1724.15,6160,2025-05-23
BANKNIFTY,2025-07-31,55200.0,CE,1700.15,1700.15,1700.15,1700.15,2404.1,70,2025-05-23
BANKNIFTY,2025-07-31,54100.0,CE,0.0,0.0,0.0,3459.05,3055.8,0,2025-05-23
BANKNIFTY,2025-07-31,53000.0,CE,3099.3,3370.0,3070.65,3370.0,3803.2,7315,2025-05-23
BANKNIFTY,2025-07-31,50900.0,CE,0.0,0.0,0.0,4844.6,5449.8,35,2025-05-23
BANKNIFTY,2025-07-31,50500.0,CE,5500.0,5500.0,5500.0,5500.0,5791.7,1120,2025-05-23
BANKNIFTY,2025-07-31,48800.0,CE,0.0,0.0,0.0,7504.2,7317.8,0,2025-05-23
BANKNIFTY,2025-07-31,48500.0,CE,0.0,0.0,0.0,7771.25,7596.95,0,2025-05-23
