SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,OPEN_INT,DATE
BANKNIFTY,2025-02-27,53900.0,CE,37.5,37.5,27.0,28.15,28.15,87030,2025-02-03
BANKNIFTY,2025-02-27,50500.0,PE,1597.95,1683.45,1344.3,1427.85,1427.85,287130,2025-02-03
BANKNIFTY,2025-02-27,53100.0,PE,0.0,0.0,0.0,3319.8,3698.65,3660,2025-02-03
BANKNIFTY,2025-02-27,53400.0,PE,0.0,0.0,0.0,3506.05,3985.25,2550,2025-02-03
BANKNIFTY,2025-02-27,54000.0,PE,4700.55,4775.0,4345.0,4479.75,4479.75,755940,2025-02-03
BANKNIFTY,2025-03-27,43100.0,PE,0.0,0.0,0.0,54.3,12.7,0,2025-02-03
BANKNIFTY,2025-02-27,54200.0,CE,33.25,33.25,20.45,23.95,23.95,43080,2025-02-03
BANKNIFTY,2025-02-27,54900.0,CE,20.05,21.15,17.25,18.05,18.05,29460,2025-02-03
BANKNIFTY,2025-02-27,57500.0,CE,9.55,11.8,9.55,10.25,10.25,174840,2025-02-03
BANKNIFTY,2025-03-27,42500.0,CE,0.0,0.0,0.0,9537.95,7123.85,0,2025-02-03
BANKNIFTY,2025-03-27,43500.0,CE,0.0,0.0,0.0,7417.9,6146.1,0,2025-02-03
BANKNIFTY,2025-03-27,45100.0,CE,0.0,0.0,0.0,7110.6,4624.6,0,2025-02-03
BANKNIFTY,2025-03-27,45600.0,CE,0.0,0.0,0.0,6664.6,4169.1,0,2025-02-03
BANKNIFTY,2025-03-27,46400.0,CE,0.0,0.0,0.0,3910.1,3471.3,120,2025-02-03
BANKNIFTY,2025-04-24,46100.0,CE,0.0,0.0,0.0,4467.9,4088.05,0,2025-02-03
BANKNIFTY,2025-04-24,46700.0,CE,0.0,0.0,0.0,4011.2,3606.6,0,2025-02-03
BANKNIFTY,2025-04-24,48500.0,CE,0.0,0.0,0.0,2794.8,2339.7,0,2025-02-03
BANKNIFTY,2025-04-24,49300.0,CE,0.0,0.0,0.0,2335.75,1874.35,0,2025-02-03
BANKNIFTY,2025-04-24,49600.0,CE,0.0,0.0,0.0,2177.0,1716.35,0,2025-02-03
BANKNIFTY,2025-04-24,50100.0,CE,0.0,0.0,0.0,1928.45,1473.05,0,2025-02-03
BANKNIFTY,2025-03-27,43900.0,PE,0.0,0.0,0.0,86.5,28.55,0,2025-02-03
BANKNIFTY,2025-03-27,44700.0,PE,0.0,0.0,0.0,133.1,59.0,0,2025-02-03
BANKNIFTY,2025-03-27,45500.0,PE,198.0,198.0,157.0,166.4,166.4,30000,2025-02-03
BANKNIFTY,2025-03-27,45600.0,PE,0.0,0.0,0.0,245.3,122.1,720,2025-02-03
BANKNIFTY,2025-03-27,48500.0,PE,743.4,817.65,659.0,686.75,686.75,46110,2025-02-03
BANKNIFTY,2025-03-27,49000.0,PE,994.95,1000.0,811.55,846.55,846.55,130440,2025-02-03
BANKNIFTY,2025-03-27,49100.0,PE,1029.95,1030.0,882.5,897.75,897.75,3330,2025-02-03
BANKNIFTY,2025-03-27,52100.0,PE,2731.25,2731.25,2563.9,2563.9,2812.8,870,2025-02-03
BANKNIFTY,2025-03-27,52800.0,PE,0.0,0.0,0.0,3132.45,3375.2,270,2025-02-03
BANKNIFTY,2025-03-27,53400.0,PE,0.0,0.0,0.0,3839.0,3885.75,180,2025-02-03
BANKNIFTY,2025-03-27,53700.0,PE,3990.15,3990.15,3798.15,3798.15,4149.3,30,2025-02-03
BANKNIFTY,2025-03-27,56500.0,PE,0.0,0.0,0.0,6526.6,6775.3,30,2025-02-03
BANKNIFTY,2025-03-27,58000.0,PE,8061.3,8061.3,7924.4,7924.4,8242.6,360,2025-02-03
BANKNIFTY,2025-04-24,44000.0,PE,131.5,162.0,119.05,128.7,128.7,1950,2025-02-03
BANKNIFTY,2025-04-24,45800.0,PE,0.0,0.0,0.0,430.9,254.9,0,2025-02-03
BANKNIFTY,2025-04-24,47800.0,PE,0.0,0.0,0.0,931.2,685.4,0,2025-02-03
BANKNIFTY,2025-04-24,48400.0,PE,0.0,0.0,0.0,1138.65,881.0,0,2025-02-03
BANKNIFTY,2025-04-24,50400.0,PE,0.0,0.0,0.0,2038.7,1788.3,0,2025-02-03
BANKNIFTY,2025-04-24,50900.0,PE,0.0,0.0,0.0,2314.15,2077.0,0,2025-02-03
BANKNIFTY,2025-04-24,51500.0,PE,0.0,0.0,0.0,2670.3,2454.45,0,2025-02-03
BANKNIFTY,2025-04-24,56000.0,PE,0.0,0.0,0.0,6078.05,6100.85,0,2025-02-03
BANKNIFTY,2025-04-24,57000.0,PE,0.0,0.0,0.0,6962.1,7032.35,0,2025-02-03
BANKNIFTY,2025-09-25,48000.0,PE,0.0,0.0,0.0,948.55,1254.2,0,2025-02-03
BANKNIFTY,2025-12-24,51000.0,PE,0.0,0.0,0.0,2366.7,2519.5,0,2025-02-03
BANKNIFTY,2025-03-27,47700.0,CE,0.0,0.0,0.0,2829.1,2448.9,150,2025-02-03
BANKNIFTY,2025-03-27,48500.0,CE,1886.85,2129.75,1886.85,2033.0,2033.0,13590,2025-02-03
BANKNIFTY,2025-03-27,49100.0,CE,1571.55,1728.3,1531.2,1635.05,1635.05,1590,2025-02-03
BANKNIFTY,2025-03-27,50600.0,CE,792.5,839.5,792.5,828.0,857.05,2940,2025-02-03
BANKNIFTY,2025-03-27,50800.0,CE,758.6,810.45,681.0,756.0,756.0,2490,2025-02-03
BANKNIFTY,2025-03-27,51400.0,CE,573.65,573.65,518.35,518.35,596.0,1290,2025-02-03
BANKNIFTY,2025-03-27,51900.0,CE,421.4,421.4,421.4,421.4,466.95,4530,2025-02-03
BANKNIFTY,2025-04-24,50600.0,CE,0.0,0.0,0.0,1700.3,1254.5,0,2025-02-03
BANKNIFTY,2025-04-24,47900.0,CE,0.0,0.0,0.0,3172.65,2729.65,0,2025-02-03
BANKNIFTY,2025-04-24,47000.0,CE,0.0,0.0,0.0,3793.5,3376.05,0,2025-02-03
BANKNIFTY,2025-04-24,46900.0,CE,0.0,0.0,0.0,3866.05,3452.1,0,2025-02-03
BANKNIFTY,2025-04-24,46800.0,CE,0.0,0.0,0.0,3937.4,3529.0,0,2025-02-03
BANKNIFTY,2025-04-24,44500.0,CE,0.0,0.0,0.0,5789.5,5480.1,0,2025-02-03
BANKNIFTY,2025-03-27,55500.0,CE,50.05,57.2,42.05,52.2,52.2,37890,2025-02-03
BANKNIFTY,2025-03-27,53500.0,CE,128.8,147.4,125.4,131.65,131.65,47490,2025-02-03
