SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,OPEN_INT,DATE
BANKNIFTY,2025-05-29,42000.0,CE,0.0,0.0,0.0,7568.1,13424.4,0,2025-05-28
BANKNIFTY,2025-06-26,59600.0,PE,0.0,0.0,0.0,4241.95,4065.1,90,2025-05-28
BANKNIFTY,2025-05-29,48000.0,PE,1.85,2.5,1.0,1.3,1.3,266370,2025-05-28
BANKNIFTY,2025-05-29,49000.0,PE,3.2,3.2,0.9,1.45,1.45,305370,2025-05-28
BANKNIFTY,2025-05-29,49200.0,PE,2.3,2.85,0.95,1.4,1.4,23760,2025-05-28
BANKNIFTY,2025-05-29,53300.0,PE,27.5,29.0,2.85,3.65,3.65,183180,2025-05-28
BANKNIFTY,2025-05-29,53600.0,PE,40.25,46.7,4.1,5.2,5.2,186150,2025-05-28
BANKNIFTY,2025-05-29,59600.0,PE,0.0,0.0,0.0,9863.0,4172.55,0,2025-05-28
BANKNIFTY,2025-05-29,44800.0,CE,0.0,0.0,0.0,5686.55,10624.85,360,2025-05-28
BANKNIFTY,2025-05-29,45800.0,CE,0.0,0.0,0.0,4743.6,9625.05,240,2025-05-28
BANKNIFTY,2025-05-29,47700.0,CE,0.0,0.0,0.0,2961.7,7725.4,0,2025-05-28
BANKNIFTY,2025-05-29,48200.0,CE,0.0,0.0,0.0,7358.9,7225.45,420,2025-05-28
BANKNIFTY,2025-05-29,50800.0,CE,4748.6,4748.6,4600.0,4600.0,4625.95,2160,2025-05-28
BANKNIFTY,2025-05-29,53800.0,CE,1660.0,1741.05,1547.3,1647.3,1647.3,59970,2025-05-28
BANKNIFTY,2025-05-29,51200.0,CE,4200.0,4200.0,4200.0,4200.0,4226.0,3390,2025-05-28
BANKNIFTY,2025-05-29,53600.0,CE,1770.0,1955.45,1759.6,1840.25,1840.25,57810,2025-05-28
BANKNIFTY,2025-05-29,56200.0,CE,215.0,258.05,50.7,65.95,65.95,360870,2025-05-28
BANKNIFTY,2025-05-29,56600.0,CE,109.45,143.8,19.0,25.95,25.95,261210,2025-05-28
BANKNIFTY,2025-05-29,58100.0,CE,9.4,9.4,3.05,3.7,3.7,140940,2025-05-28
BANKNIFTY,2025-06-26,45000.0,CE,10650.0,10750.0,10509.15,10653.65,10653.65,44880,2025-05-28
BANKNIFTY,2025-06-26,48500.0,CE,7180.0,7230.0,7150.0,7203.45,7203.45,780,2025-05-28
BANKNIFTY,2025-06-26,49300.0,CE,6330.0,6330.0,6330.0,6330.0,6383.5,990,2025-05-28
BANKNIFTY,2025-06-26,51300.0,CE,0.0,0.0,0.0,4389.25,4475.75,630,2025-05-28
BANKNIFTY,2025-06-26,51800.0,CE,4093.6,4162.45,4015.95,4100.0,4023.5,2040,2025-05-28
BANKNIFTY,2025-06-26,52600.0,CE,0.0,0.0,0.0,3336.1,3333.2,210,2025-05-28
BANKNIFTY,2025-06-26,54000.0,CE,2198.65,2338.0,2128.15,2188.75,2188.75,224820,2025-05-28
BANKNIFTY,2025-06-26,55100.0,CE,1410.0,1560.0,1375.1,1433.7,1433.7,12450,2025-05-28
BANKNIFTY,2025-06-26,57800.0,CE,343.6,361.4,303.65,314.0,314.0,7860,2025-05-28
BANKNIFTY,2025-06-26,59900.0,CE,87.5,103.3,65.75,79.15,79.15,4830,2025-05-28
BANKNIFTY,2025-07-31,49700.0,CE,0.0,0.0,0.0,6721.9,6441.0,0,2025-05-28
BANKNIFTY,2025-07-31,50100.0,CE,0.0,0.0,0.0,6384.25,6081.2,0,2025-05-28
BANKNIFTY,2025-07-31,52000.0,CE,4254.95,4320.0,4159.95,4207.1,4473.4,4095,2025-05-28
BANKNIFTY,2025-07-31,53100.0,CE,0.0,0.0,0.0,3266.9,3642.05,140,2025-05-28
BANKNIFTY,2025-07-31,53500.0,CE,0.0,0.0,0.0,3226.0,3358.15,385,2025-05-28
BANKNIFTY,2025-07-31,53700.0,CE,0.0,0.0,0.0,2835.2,3222.0,245,2025-05-28
BANKNIFTY,2025-07-31,57900.0,CE,0.0,0.0,0.0,1614.7,1119.15,0,2025-05-28
BANKNIFTY,2025-07-31,59100.0,CE,0.0,0.0,0.0,1221.95,774.65,0,2025-05-28
BANKNIFTY,2025-09-25,46500.0,CE,0.0,0.0,0.0,11561.6,10021.25,0,2025-05-28
BANKNIFTY,2026-03-26,43500.0,CE,0.0,0.0,0.0,11569.95,14427.3,0,2025-05-28
BANKNIFTY,2025-06-26,54400.0,PE,602.1,635.0,534.4,549.15,549.15,8130,2025-05-28
BANKNIFTY,2025-06-26,47800.0,PE,0.0,0.0,0.0,235.0,3.1,1050,2025-05-28
BANKNIFTY,2025-06-26,56400.0,PE,1428.25,1475.6,1349.5,1378.9,1378.9,4770,2025-05-28
BANKNIFTY,2025-06-26,57600.0,PE,2250.0,2250.0,2250.0,2250.0,2435.5,60,2025-05-28
BANKNIFTY,2025-06-26,58000.0,PE,2533.95,2621.0,2425.6,2485.65,2485.65,31110,2025-05-28
BANKNIFTY,2025-06-26,58400.0,PE,0.0,0.0,0.0,3180.7,3049.6,180,2025-05-28
BANKNIFTY,2025-06-26,58700.0,PE,0.0,0.0,0.0,3903.4,3293.9,300,2025-05-28
BANKNIFTY,2025-07-31,50600.0,PE,0.0,0.0,0.0,460.45,239.75,0,2025-05-28
BANKNIFTY,2025-07-31,51100.0,PE,0.0,0.0,0.0,253.1,305.0,280,2025-05-28
BANKNIFTY,2025-07-31,51900.0,PE,0.0,0.0,0.0,348.35,437.1,70,2025-05-28
BANKNIFTY,2025-07-31,55700.0,PE,0.0,0.0,0.0,1284.2,1679.05,35,2025-05-28
BANKNIFTY,2025-07-31,56000.0,PE,1649.95,1650.0,1511.7,1531.4,1531.4,50540,2025-05-28
BANKNIFTY,2025-07-31,56900.0,PE,0.0,0.0,0.0,2683.6,2315.15,0,2025-05-28
BANKNIFTY,2025-07-31,58700.0,PE,3325.8,3325.8,3325.8,3325.8,3482.45,140,2025-05-28
BANKNIFTY,2025-06-26,45900.0,PE,0.0,0.0,0.0,175.2,0.25,0,2025-05-28
BANKNIFTY,2025-05-29,49800.0,CE,0.0,0.0,0.0,6011.9,5625.75,570,2025-05-28
BANKNIFTY,2025-05-29,46500.0,CE,8900.0,8900.0,8900.0,8900.0,8925.15,510,2025-05-28
BANKNIFTY,2025-05-29,45000.0,CE,10400.0,10560.05,10320.0,10457.65,10457.65,16470,2025-05-28
BANKNIFTY,2025-05-29,57000.0,CE,63.95,74.9,8.3,10.85,10.85,1743120,2025-05-28
BANKNIFTY,2025-05-29,57200.0,CE,44.25,51.15,6.0,7.7,7.7,316560,2025-05-28
BANKNIFTY,2025-05-29,58700.0,CE,4.2,4.4,2.45,3.05,3.05,80070,2025-05-28
BANKNIFTY,2025-05-29,59700.0,CE,3.05,3.1,1.9,2.65,2.65,27570,2025-05-28
BANKNIFTY,2025-05-29,60400.0,CE,1.75,2.95,1.6,2.15,2.15,33900,2025-05-28
BANKNIFTY,2025-06-26,42500.0,CE,0.0,0.0,0.0,10916.55,13132.6,30,2025-05-28
BANKNIFTY,2025-06-26,47400.0,CE,0.0,0.0,0.0,7011.2,8259.3,60,2025-05-28
