SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,OPEN_INT,DATE
BANKNIFTY,2025-06-26,57600.0,PE,0.0,0.0,0.0,5463.95,2840.5,0,2025-04-21
BANKNIFTY,2025-06-26,57800.0,PE,0.0,0.0,0.0,5630.05,2969.35,0,2025-04-21
BANKNIFTY,2025-06-26,58200.0,PE,0.0,0.0,0.0,5967.15,3235.65,0,2025-04-21
BANKNIFTY,2025-06-26,58400.0,PE,0.0,0.0,0.0,6138.0,3373.0,0,2025-04-21
BANKNIFTY,2025-06-26,58800.0,PE,0.0,0.0,0.0,6483.9,3655.7,0,2025-04-21
BANKNIFTY,2025-06-26,62000.0,PE,0.0,0.0,0.0,9404.05,6238.7,0,2025-04-21
BANKNIFTY,2025-09-25,48000.0,PE,340.0,340.0,289.0,290.0,290.0,5070,2025-04-21
BANKNIFTY,2026-03-26,51000.0,PE,0.0,0.0,0.0,2095.5,1367.5,0,2025-04-21
BANKNIFTY,2026-03-26,54000.0,PE,0.0,0.0,0.0,3283.7,2247.4,0,2025-04-21
BANKNIFTY,2025-05-29,58400.0,PE,3536.55,3536.55,3395.65,3395.65,3199.85,30,2025-04-21
BANKNIFTY,2025-05-29,58700.0,PE,0.0,0.0,0.0,9008.15,3434.0,0,2025-04-21
BANKNIFTY,2025-06-26,44000.0,PE,25.7,28.4,25.7,28.4,3.5,180,2025-04-21
BANKNIFTY,2025-06-26,45100.0,PE,0.0,0.0,0.0,115.15,8.85,0,2025-04-21
BANKNIFTY,2025-06-26,45200.0,PE,0.0,0.0,0.0,121.6,9.6,0,2025-04-21
BANKNIFTY,2025-06-26,46800.0,PE,0.0,0.0,0.0,270.35,31.2,0,2025-04-21
BANKNIFTY,2025-06-26,50100.0,PE,307.4,307.4,307.4,307.4,215.7,690,2025-04-21
BANKNIFTY,2025-06-26,51800.0,PE,354.35,354.35,354.35,354.35,467.25,1170,2025-04-21
BANKNIFTY,2025-06-26,51900.0,PE,0.0,0.0,0.0,1278.4,487.0,240,2025-04-21
BANKNIFTY,2025-06-26,53000.0,PE,750.0,750.0,490.2,512.1,512.1,196440,2025-04-21
BANKNIFTY,2025-06-26,54000.0,PE,1055.3,1055.3,737.6,750.95,750.95,63660,2025-04-21
BANKNIFTY,2025-05-29,55400.0,CE,874.75,1175.0,874.75,1094.0,1094.0,26280,2025-04-21
BANKNIFTY,2025-05-29,56300.0,CE,684.45,742.55,636.0,674.15,674.15,7440,2025-04-21
BANKNIFTY,2025-05-29,58500.0,CE,150.0,198.0,121.25,167.3,167.3,95880,2025-04-21
BANKNIFTY,2025-05-29,58800.0,CE,0.0,0.0,0.0,88.2,431.0,0,2025-04-21
BANKNIFTY,2025-06-26,44000.0,CE,0.0,0.0,0.0,6629.55,11843.35,60,2025-04-21
BANKNIFTY,2025-06-26,44500.0,CE,0.0,0.0,0.0,6177.45,11351.35,60,2025-04-21
BANKNIFTY,2025-06-26,48000.0,CE,7400.0,7700.0,7362.5,7362.5,7362.5,13740,2025-04-21
BANKNIFTY,2025-06-26,48600.0,CE,6714.55,7201.0,6714.55,7201.0,7201.0,120,2025-04-21
BANKNIFTY,2025-06-26,49400.0,CE,5967.2,6551.25,5967.2,6551.25,6551.25,30,2025-04-21
BANKNIFTY,2025-06-26,50300.0,CE,5141.5,5591.85,5141.5,5591.85,5591.85,390,2025-04-21
BANKNIFTY,2025-04-24,49100.0,CE,5940.0,6315.0,5940.0,6207.75,6230.8,13650,2025-04-21
