SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,OPEN_INT,DATE
FINNIFTY,2025-02-25,26000.0,CE,0.0,0.0,0.0,432.95,99.95,0,2024-12-26
FINNIFTY,2024-12-31,26000.0,CE,1.9,1.9,0.75,0.95,0.95,447900,2024-12-26
FINNIFTY,2025-01-28,23300.0,CE,0.0,0.0,0.0,871.95,817.25,25,2024-12-26
FINNIFTY,2025-01-28,23300.0,PE,256.45,256.45,255.85,255.85,255.85,75,2024-12-26
FINNIFTY,2024-12-31,23300.0,CE,652.55,666.0,449.0,499.9,499.9,3125,2024-12-26
FINNIFTY,2025-02-25,23300.0,CE,0.0,0.0,0.0,1647.15,1047.65,0,2024-12-26
FINNIFTY,2024-12-31,23300.0,PE,25.0,54.9,11.8,26.4,26.4,218800,2024-12-26
FINNIFTY,2025-01-28,22700.0,PE,0.0,0.0,0.0,243.55,92.3,0,2024-12-26
FINNIFTY,2025-01-28,24700.0,PE,0.0,0.0,0.0,924.05,987.7,0,2024-12-26
FINNIFTY,2025-02-25,23400.0,PE,0.0,0.0,0.0,513.4,377.35,0,2024-12-26
FINNIFTY,2024-12-31,24250.0,PE,415.3,556.1,315.25,468.95,468.95,31975,2024-12-26
FINNIFTY,2024-12-31,24250.0,CE,34.85,58.3,17.35,22.5,22.5,125800,2024-12-26
FINNIFTY,2024-12-31,25450.0,PE,0.0,0.0,0.0,904.3,1682.7,2100,2024-12-26
FINNIFTY,2024-12-31,24450.0,CE,17.3,24.4,6.25,7.8,7.8,118650,2024-12-26
FINNIFTY,2024-12-31,27200.0,PE,0.0,0.0,0.0,2202.35,3431.05,0,2024-12-26
FINNIFTY,2024-12-31,25250.0,PE,0.0,0.0,0.0,1388.8,1483.0,10525,2024-12-26
FINNIFTY,2024-12-31,24850.0,PE,930.0,1128.6,930.0,1084.65,1085.0,40700,2024-12-26
FINNIFTY,2025-01-28,27500.0,PE,0.0,0.0,0.0,2852.1,3589.8,0,2024-12-26
FINNIFTY,2025-01-28,21800.0,CE,0.0,0.0,0.0,3058.3,2091.35,0,2024-12-26
FINNIFTY,2025-02-25,21800.0,CE,0.0,0.0,0.0,2785.85,2241.8,0,2024-12-26
FINNIFTY,2025-02-25,21800.0,PE,0.0,0.0,0.0,145.85,53.45,0,2024-12-26
FINNIFTY,2024-12-31,28000.0,CE,1.0,1.0,0.55,0.7,0.7,284350,2024-12-26
FINNIFTY,2024-12-31,22200.0,CE,0.0,0.0,0.0,3232.7,1564.35,0,2024-12-26
FINNIFTY,2024-12-31,23650.0,PE,54.1,162.05,40.35,97.7,97.7,105825,2024-12-26
FINNIFTY,2025-02-25,25000.0,CE,0.0,0.0,0.0,710.0,280.65,0,2024-12-26
FINNIFTY,2025-01-28,25000.0,PE,0.0,0.0,0.0,1079.45,1223.75,0,2024-12-26
FINNIFTY,2024-12-31,25800.0,CE,3.85,3.85,0.8,0.95,0.95,107775,2024-12-26
FINNIFTY,2025-01-28,25800.0,CE,41.95,41.95,21.15,31.0,31.0,1750,2024-12-26
FINNIFTY,2024-12-31,24400.0,PE,456.5,700.9,449.45,597.95,597.95,57850,2024-12-26
FINNIFTY,2025-02-25,24400.0,PE,0.0,0.0,0.0,931.25,857.5,0,2024-12-26
FINNIFTY,2024-12-31,24400.0,CE,14.0,30.1,7.8,10.1,10.1,409075,2024-12-26
FINNIFTY,2025-01-28,24600.0,PE,0.0,0.0,0.0,507.0,913.85,0,2024-12-26
FINNIFTY,2025-02-25,22000.0,CE,0.0,0.0,0.0,2618.5,2062.45,0,2024-12-26
FINNIFTY,2025-02-25,24000.0,PE,0.0,0.0,0.0,745.2,636.55,0,2024-12-26
FINNIFTY,2024-12-31,25350.0,CE,2.65,3.1,0.9,1.1,1.1,23675,2024-12-26
FINNIFTY,2024-12-31,25350.0,PE,0.0,0.0,0.0,1094.35,1582.85,6950,2024-12-26
FINNIFTY,2024-12-31,23700.0,CE,223.25,359.0,144.0,208.25,208.25,128500,2024-12-26
FINNIFTY,2025-02-25,23700.0,PE,0.0,0.0,0.0,622.25,496.1,0,2024-12-26
FINNIFTY,2025-01-28,23700.0,CE,679.9,693.9,485.1,550.75,550.75,2225,2024-12-26
FINNIFTY,2025-01-28,21500.0,CE,0.0,0.0,0.0,3324.4,2381.7,0,2024-12-26
FINNIFTY,2024-12-31,23750.0,CE,216.35,318.3,122.25,178.7,178.7,190075,2024-12-26
