SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,OPEN_INT,DATE
BANKNIFTY,2024-09-25,54900.0,PE,0.0,0.0,0.0,2939.15,3003.8,0,2024-07-15
BANKNIFTY,2024-07-16,54900.0,CE,2.7,3.05,0.7,1.0,1.0,244635,2024-07-15
BANKNIFTY,2024-08-28,54900.0,CE,0.0,0.0,0.0,1143.35,825.55,15,2024-07-15
BANKNIFTY,2024-07-16,54900.0,PE,2453.6,2453.6,2274.65,2364.15,2364.15,255,2024-07-15
BANKNIFTY,2024-07-24,54900.0,CE,42.0,55.0,31.85,50.55,50.55,45315,2024-07-15
BANKNIFTY,2024-08-14,53600.0,PE,0.0,0.0,0.0,2017.25,1782.75,0,2024-07-15
BANKNIFTY,2024-08-07,53600.0,CE,0.0,0.0,0.0,1391.75,764.4,0,2024-07-15
BANKNIFTY,2024-09-25,55400.0,CE,0.0,0.0,0.0,1709.2,1176.45,0,2024-07-15
BANKNIFTY,2024-07-16,55400.0,PE,3159.05,3159.05,2737.4,2845.95,2845.95,60,2024-07-15
BANKNIFTY,2024-08-07,55400.0,PE,0.0,0.0,0.0,2640.6,2988.55,0,2024-07-15
BANKNIFTY,2024-08-14,53600.0,CE,0.0,0.0,0.0,980.45,950.5,0,2024-07-15
BANKNIFTY,2024-08-07,53600.0,PE,0.0,0.0,0.0,1775.0,1669.25,240,2024-07-15
BANKNIFTY,2024-07-24,55400.0,PE,0.0,0.0,0.0,3130.6,2897.5,225,2024-07-15
BANKNIFTY,2024-07-31,53600.0,CE,329.55,400.35,278.35,369.75,369.75,22290,2024-07-15
BANKNIFTY,2024-07-24,53600.0,PE,1430.0,1430.0,1178.7,1224.25,1224.25,405,2024-07-15
BANKNIFTY,2024-07-16,53600.0,CE,12.85,15.05,4.5,5.55,5.55,703725,2024-07-15
BANKNIFTY,2024-08-28,55400.0,CE,0.0,0.0,0.0,270.15,686.35,0,2024-07-15
BANKNIFTY,2024-09-25,55400.0,PE,0.0,0.0,0.0,3236.85,3329.6,0,2024-07-15
BANKNIFTY,2024-09-25,53600.0,CE,0.0,0.0,0.0,2478.45,1859.95,0,2024-07-15
BANKNIFTY,2024-08-07,53000.0,PE,0.0,0.0,0.0,1233.7,1314.9,0,2024-07-15
BANKNIFTY,2024-07-16,53000.0,PE,742.2,854.0,424.45,508.0,508.0,240465,2024-07-15
BANKNIFTY,2024-08-14,53000.0,PE,0.0,0.0,0.0,1213.25,1439.0,30,2024-07-15
BANKNIFTY,2024-07-16,53000.0,CE,59.9,93.0,26.8,49.9,49.9,2678760,2024-07-15
BANKNIFTY,2024-07-31,44100.0,CE,0.0,0.0,0.0,5232.85,8493.0,0,2024-07-15
BANKNIFTY,2024-07-16,60000.0,PE,0.0,0.0,0.0,9704.3,7532.45,0,2024-07-15
BANKNIFTY,2024-08-28,60000.0,CE,42.0,43.45,36.2,38.35,38.35,11010,2024-07-15
BANKNIFTY,2025-06-25,60000.0,CE,0.0,0.0,0.0,3530.4,3041.75,0,2024-07-15
BANKNIFTY,2024-07-31,60000.0,PE,7480.0,7480.0,7261.9,7290.0,7359.25,1230,2024-07-15
BANKNIFTY,2024-12-24,60000.0,CE,0.0,0.0,0.0,1314.65,1156.15,0,2024-07-15
FINNIFTY,2024-07-30,23000.0,PE,0.0,0.0,0.0,160.0,130.05,975,2024-07-15
FINNIFTY,2024-07-16,23000.0,CE,663.45,750.75,542.7,727.8,727.8,16280,2024-07-15
FINNIFTY,2024-08-06,23000.0,CE,0.0,0.0,0.0,1002.6,979.2,0,2024-07-15
FINNIFTY,2024-07-23,23550.0,PE,207.35,220.0,144.5,144.5,144.5,1680,2024-07-15
FINNIFTY,2024-07-30,23550.0,PE,0.0,0.0,0.0,300.0,308.05,100,2024-07-15
FINNIFTY,2024-08-06,23000.0,PE,0.0,0.0,0.0,341.55,189.1,0,2024-07-15
FINNIFTY,2024-08-06,23550.0,CE,0.0,0.0,0.0,682.95,620.4,0,2024-07-15
FINNIFTY,2024-07-30,22650.0,CE,0.0,0.0,0.0,1253.45,1174.5,0,2024-07-15
FINNIFTY,2024-07-30,22650.0,PE,0.0,0.0,0.0,234.8,66.65,0,2024-07-15
FINNIFTY,2024-08-27,27000.0,CE,0.0,0.0,0.0,12.3,35.55,0,2024-07-15
FINNIFTY,2024-09-24,27000.0,PE,0.0,0.0,0.0,3181.85,3048.25,0,2024-07-15
FINNIFTY,2024-08-13,23900.0,CE,0.0,0.0,0.0,593.3,529.75,0,2024-07-15
FINNIFTY,2024-08-27,21200.0,PE,0.0,0.0,0.0,306.05,34.15,0,2024-07-15
FINNIFTY,2024-08-27,21200.0,CE,0.0,0.0,0.0,1470.0,2707.25,0,2024-07-15
FINNIFTY,2024-07-16,23900.0,CE,26.25,47.65,9.25,21.95,21.95,1460360,2024-07-15
FINNIFTY,2024-07-23,23900.0,PE,0.0,0.0,0.0,344.05,391.15,80,2024-07-15
FINNIFTY,2024-07-16,21200.0,PE,0.5,1.0,0.25,0.35,0.35,6520,2024-07-15
FINNIFTY,2024-07-23,21200.0,PE,0.0,0.0,0.0,112.15,0.05,0,2024-07-15
FINNIFTY,2024-07-30,23900.0,PE,0.0,0.0,0.0,1868.1,480.5,0,2024-07-15
FINNIFTY,2024-07-30,23900.0,CE,0.0,0.0,0.0,235.6,342.0,0,2024-07-15
FINNIFTY,2024-07-16,23900.0,PE,280.85,386.55,157.85,192.0,192.0,111840,2024-07-15
FINNIFTY,2024-08-06,23900.0,CE,0.0,0.0,0.0,518.85,442.0,0,2024-07-15
FINNIFTY,2024-08-27,23900.0,CE,0.0,0.0,0.0,262.2,686.05,0,2024-07-15
FINNIFTY,2024-08-06,21200.0,PE,0.0,0.0,0.0,30.8,5.5,0,2024-07-15
FINNIFTY,2024-07-16,21200.0,CE,0.0,0.0,0.0,1271.4,2496.0,0,2024-07-15
FINNIFTY,2024-07-23,26400.0,PE,0.0,0.0,0.0,3637.9,2667.2,0,2024-07-15
FINNIFTY,2024-08-06,26400.0,PE,0.0,0.0,0.0,2750.45,2606.6,0,2024-07-15
FINNIFTY,2024-07-30,26400.0,CE,0.0,0.0,0.0,3.25,2.55,275,2024-07-15
FINNIFTY,2024-07-16,26400.0,CE,0.3,0.65,0.1,0.15,0.15,106760,2024-07-15
FINNIFTY,2024-08-06,26400.0,CE,0.0,0.0,0.0,35.2,11.2,0,2024-07-15
FINNIFTY,2024-07-16,26400.0,PE,0.0,0.0,0.0,4093.7,2703.05,0,2024-07-15
NIFTY,2024-08-29,24550.0,CE,532.7,578.75,528.95,564.5,564.5,5350,2024-07-15
NIFTY,2024-08-14,23550.0,PE,0.0,0.0,0.0,159.4,92.75,0,2024-07-15
NIFTY,2024-07-18,23000.0,CE,1555.0,1632.7,1540.0,1605.6,1605.6,90900,2024-07-15
NIFTY,2025-03-27,23000.0,CE,0.0,0.0,0.0,2020.2,3091.6,25,2024-07-15
NIFTY,2024-07-18,23550.0,PE,2.75,2.75,1.3,2.05,2.05,683400,2024-07-15
NIFTY,2024-07-25,23550.0,CE,1038.2,1085.0,1031.2,1076.05,1076.05,15975,2024-07-15
NIFTY,2026-12-31,23000.0,PE,0.0,0.0,0.0,766.8,533.7,9200,2024-07-15
NIFTY,2024-07-25,23000.0,CE,1593.7,1641.4,1549.0,1625.45,1625.45,1050825,2024-07-15
NIFTY,2024-08-14,23000.0,PE,50.0,50.0,45.0,47.0,32.65,725,2024-07-15
NIFTY,2024-07-18,24550.0,CE,128.0,153.5,100.05,132.2,132.2,1295225,2024-07-15
NIFTY,2024-08-14,24550.0,CE,475.0,478.95,456.15,478.95,478.95,50,2024-07-15
NIFTY,2028-12-28,23000.0,CE,0.0,0.0,0.0,6377.6,8446.65,0,2024-07-15
NIFTY,2027-12-30,23000.0,PE,0.0,0.0,0.0,2201.3,516.5,0,2024-07-15
NIFTY,2024-08-29,23000.0,PE,70.0,75.0,63.0,66.1,66.1,1118625,2024-07-15
NIFTY,2024-09-26,23550.0,PE,0.0,0.0,0.0,428.15,226.8,0,2024-07-15
NIFTY,2024-08-29,23550.0,PE,132.55,132.55,109.75,126.6,126.6,5925,2024-07-15
NIFTY,2025-06-26,23000.0,CE,0.0,0.0,0.0,3240.0,3546.7,50,2024-07-15
NIFTY,2024-12-26,23000.0,CE,2379.95,2426.9,2349.0,2402.65,2402.65,503775,2024-07-15
NIFTY,2024-12-26,23000.0,PE,239.95,245.05,234.3,238.85,238.85,1829475,2024-07-15
NIFTY,2024-09-26,26250.0,PE,0.0,0.0,0.0,1982.95,1563.7,0,2024-07-15
NIFTY,2024-08-29,26250.0,CE,0.0,0.0,0.0,16.8,133.65,0,2024-07-15
NIFTY,2024-07-18,26250.0,PE,0.0,0.0,0.0,2679.75,1648.0,0,2024-07-15
NIFTY,2024-09-26,26250.0,CE,0.0,0.0,0.0,251.55,280.35,0,2024-07-15
NIFTY,2024-08-08,26250.0,PE,0.0,0.0,0.0,1821.8,1579.7,0,2024-07-15
NIFTY,2024-08-14,26250.0,PE,0.0,0.0,0.0,1808.35,1573.25,0,2024-07-15
NIFTY,2024-07-18,26250.0,CE,0.7,1.0,0.3,0.35,0.35,124025,2024-07-15
NIFTY,2024-07-25,26250.0,PE,0.0,0.0,0.0,2963.65,1614.95,0,2024-07-15
NIFTY,2024-08-01,26250.0,PE,0.0,0.0,0.0,2490.95,1592.65,0,2024-07-15
NIFTY,2024-09-26,22650.0,PE,0.0,0.0,0.0,195.75,81.75,0,2024-07-15
NIFTY,2024-08-14,22650.0,CE,0.0,0.0,0.0,1853.7,2083.5,0,2024-07-15
NIFTY,2024-08-01,22650.0,CE,0.0,0.0,0.0,1263.85,2014.1,0,2024-07-15
NIFTY,2024-08-08,22650.0,CE,0.0,0.0,0.0,1848.9,2050.4,0,2024-07-15
BANKNIFTY,2024-07-31,60000.0,CE,9.1,11.6,6.9,8.5,8.5,60645,2024-07-15
BANKNIFTY,2025-03-26,60000.0,PE,0.0,0.0,0.0,9846.0,6684.6,0,2024-07-15
BANKNIFTY,2024-12-24,60000.0,PE,0.0,0.0,0.0,8604.45,6789.95,0,2024-07-15
BANKNIFTY,2024-07-24,60000.0,CE,5.15,5.3,2.55,3.65,3.65,30675,2024-07-15
BANKNIFTY,2024-07-24,60000.0,PE,0.0,0.0,0.0,7532.6,7439.2,15,2024-07-15
BANKNIFTY,2024-07-16,60000.0,CE,1.2,1.4,0.6,1.0,1.0,643560,2024-07-15
BANKNIFTY,2024-09-25,60000.0,PE,0.0,0.0,0.0,6855.0,6972.65,15,2024-07-15
BANKNIFTY,2024-08-14,60000.0,CE,34.35,34.35,24.5,26.35,26.55,495,2024-07-15
BANKNIFTY,2025-06-25,60000.0,PE,0.0,0.0,0.0,6435.95,6590.75,0,2024-07-15
BANKNIFTY,2024-09-25,60000.0,CE,91.7,96.25,80.05,95.55,285.2,615,2024-07-15
BANKNIFTY,2024-07-16,47800.0,CE,0.0,0.0,0.0,5214.25,4665.2,75,2024-07-15
BANKNIFTY,2024-09-25,46000.0,CE,0.0,0.0,0.0,7901.45,7253.4,0,2024-07-15
BANKNIFTY,2024-07-16,46000.0,PE,1.25,1.9,0.7,1.4,1.4,227490,2024-07-15
BANKNIFTY,2024-08-28,47800.0,PE,0.0,0.0,0.0,1070.95,160.25,0,2024-07-15
BANKNIFTY,2024-08-14,46000.0,PE,0.0,0.0,0.0,33.05,15.9,0,2024-07-15
BANKNIFTY,2024-07-24,46000.0,CE,0.0,0.0,0.0,7056.15,6536.4,75,2024-07-15
BANKNIFTY,2024-08-28,48200.0,CE,0.0,0.0,0.0,4428.3,4880.35,15,2024-07-15
BANKNIFTY,2024-08-28,48200.0,PE,0.0,0.0,0.0,1226.15,202.75,0,2024-07-15
BANKNIFTY,2024-08-28,47800.0,CE,0.0,0.0,0.0,2633.25,5234.4,0,2024-07-15
BANKNIFTY,2024-07-16,47800.0,PE,1.8,2.85,0.7,1.5,1.5,6330,2024-07-15
BANKNIFTY,2024-09-25,46000.0,PE,0.0,0.0,0.0,169.55,140.75,30,2024-07-15
BANKNIFTY,2024-07-24,55100.0,CE,21.35,42.1,21.35,37.85,37.85,16035,2024-07-15
BANKNIFTY,2024-08-07,55100.0,CE,0.0,0.0,0.0,806.4,347.6,0,2024-07-15
BANKNIFTY,2024-07-31,55100.0,PE,0.0,0.0,0.0,2321.2,2677.15,255,2024-07-15
BANKNIFTY,2024-07-31,55100.0,CE,86.8,114.95,70.85,95.5,95.5,21855,2024-07-15
BANKNIFTY,2024-08-14,55100.0,PE,0.0,0.0,0.0,3060.6,2815.85,0,2024-07-15
BANKNIFTY,2024-07-16,55100.0,CE,2.1,2.9,0.7,1.0,1.0,138255,2024-07-15
BANKNIFTY,2024-08-28,47000.0,CE,5700.0,5849.0,5670.9,5800.0,5963.9,1485,2024-07-15
BANKNIFTY,2024-07-24,47000.0,PE,9.55,9.55,5.25,6.0,6.0,62220,2024-07-15
FINNIFTY,2024-07-16,25400.0,CE,0.8,0.8,0.2,0.25,0.25,22840,2024-07-15
FINNIFTY,2024-08-27,25400.0,CE,0.0,0.0,0.0,68.65,199.95,0,2024-07-15
FINNIFTY,2024-08-06,24300.0,PE,0.0,0.0,0.0,997.7,789.7,0,2024-07-15
FINNIFTY,2024-07-30,25400.0,CE,0.0,0.0,0.0,60.7,27.55,0,2024-07-15
FINNIFTY,2024-07-30,19400.0,PE,0.0,0.0,0.0,48.4,0.0,0,2024-07-15
FINNIFTY,2024-08-27,19400.0,CE,0.0,0.0,0.0,2970.15,4458.7,0,2024-07-15
FINNIFTY,2024-07-23,26300.0,PE,0.0,0.0,0.0,3539.9,2567.4,0,2024-07-15
FINNIFTY,2024-07-23,26300.0,CE,2.25,2.25,2.25,2.25,0.15,560,2024-07-15
FINNIFTY,2024-07-16,26300.0,CE,0.55,0.6,0.1,0.15,0.15,55080,2024-07-15
FINNIFTY,2024-07-23,24700.0,CE,0.0,0.0,0.0,84.2,36.4,0,2024-07-15
FINNIFTY,2024-08-13,24700.0,CE,0.0,0.0,0.0,297.05,242.1,0,2024-07-15
FINNIFTY,2024-08-27,24700.0,PE,0.0,0.0,0.0,2405.7,1168.85,0,2024-07-15
FINNIFTY,2024-07-16,24700.0,PE,1071.4,1071.4,1071.4,1071.4,1003.35,40,2024-07-15
FINNIFTY,2024-08-13,24700.0,PE,0.0,0.0,0.0,1162.35,1111.35,0,2024-07-15
FINNIFTY,2024-08-06,24700.0,CE,0.0,0.0,0.0,253.4,174.35,0,2024-07-15
FINNIFTY,2024-09-24,23400.0,CE,0.0,0.0,0.0,1287.65,1217.9,0,2024-07-15
FINNIFTY,2024-07-23,23400.0,PE,149.85,165.0,90.0,101.65,101.65,12000,2024-07-15
FINNIFTY,2024-08-27,24800.0,CE,0.0,0.0,0.0,121.25,342.0,0,2024-07-15
